#|SEDE_ATENCION|TIPO_SOLICITUD|SEXO_BENEFICIARIO|EDAD_BENEFICIARIO|DISTRITO_BENEFICIARIO|DEPARTAMENTO_BENEFICIARIO|NACIONALIDAD_BENEFICIARIO|ANO_TRA|MES_TRA|TOTAL_MOV_MIGRA|ESTADO_TRAMITE|NACIONALIDAD_SOLICITANTE|FECHA_DE_CORTE
39|SERVICIOS WEB|PROPIETARIO|M|31|CHORRILLOS|LIMA|COLOMBIANA|2023|OCTUBRE|0|E|COLOMBIANA|2023-10-03
40|SERVICIOS WEB|PROPIETARIO|M|52|SAN ISIDRO|LIMA|ITALIANA|2023|OCTUBRE|178|E|ITALIANA|2023-10-03
41|SERVICIOS WEB|PROPIETARIO|M|43|BARRANCO|LIMA|FRANCESA|2023|OCTUBRE|0|E|FRANCESA|2023-10-03
42|SERVICIOS WEB|PROPIETARIO|M|49|SAN ISIDRO|LIMA|ALEMANA|2023|OCTUBRE|36|E|ALEMANA|2023-10-03
43|SERVICIOS WEB|PROPIETARIO|M|63|MIRAFLORES|LIMA|VENEZOLANA|2023|OCTUBRE|20|E|VENEZOLANA|2023-10-03
44|SERVICIOS WEB|PROPIETARIO|F|48|PUEBLO LIBRE (MAGDALENA VIEJA)|LIMA|UCRANIANA|2023|OCTUBRE|4|E|UCRANIANA|2023-10-03
45|SERVICIOS WEB|PROPIETARIO|M|50|MIRAFLORES|LIMA|COLOMBIANA|2023|OCTUBRE|0|E|COLOMBIANA|2023-10-03
46|SERVICIOS WEB|PROPIETARIO|M|35|RIMAC|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
47|SERVICIOS WEB|PROPIETARIO|M|57|PARIÑAS|PIURA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
48|SERVICIOS WEB|PROPIETARIO|M|60|MIRAFLORES|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
49|SERVICIOS WEB|PROPIETARIO|M|42|SANTIAGO DE SURCO|LIMA|ARGENTINA|2023|OCTUBRE|1|E|ARGENTINA|2023-10-03
50|SERVICIOS WEB|PROPIETARIO|F|31|SANTA ANITA|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
51|SERVICIOS WEB|PROPIETARIO|M|66|MIRAFLORES|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
52|SERVICIOS WEB|PROPIETARIO|M|63|PARIÑAS|PIURA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
53|SERVICIOS WEB|PROPIETARIO|M|55|PARIÑAS|PIURA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
54|SERVICIOS WEB|PROPIETARIO|F|32|SANTIAGO DE SURCO|LIMA|CHINA|2023|OCTUBRE|0|E|CHINA|2023-10-03
55|SERVICIOS WEB|PROPIETARIO|M|63|PARIÑAS|PIURA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
56|SERVICIOS WEB|PROPIETARIO|M|65|PARIÑAS|PIURA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
57|SERVICIOS WEB|PROPIETARIO|M|59|PARIÑAS|PIURA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
58|SERVICIOS WEB|PROPIETARIO|M|61|PARIÑAS|PIURA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
59|SERVICIOS WEB|PROPIETARIO|M|50|PARIÑAS|PIURA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
60|SERVICIOS WEB|PROPIETARIO|F|45|MAGDALENA DEL MAR|LIMA|URUGUAYA|2023|OCTUBRE|0|E|URUGUAYA|2023-10-03
61|SERVICIOS WEB|PROPIETARIO|M|49|LA MOLINA|LIMA|CHILENA|2023|OCTUBRE|0|E|CHILENA|2023-10-03
62|SERVICIOS WEB|PROPIETARIO|F|33|LOS OLIVOS|LIMA|VENEZOLANA|2023|OCTUBRE|1|E|VENEZOLANA|2023-10-03
63|SERVICIOS WEB|PROPIETARIO|M|43|VILLA EL SALVADOR|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
64|SERVICIOS WEB|PROPIETARIO|M|42|MIRAFLORES|LIMA|URUGUAYA|2023|OCTUBRE|0|E|URUGUAYA|2023-10-03
65|SERVICIOS WEB|PROPIETARIO|F|41|MIRAFLORES|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
66|SERVICIOS WEB|PROPIETARIO|F|39|VILLA EL SALVADOR|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
67|SERVICIOS WEB|PROPIETARIO|M|46|MIRAFLORES|LIMA|URUGUAYA|2023|OCTUBRE|0|E|URUGUAYA|2023-10-03
68|SERVICIOS WEB|PROPIETARIO|F|26|LOS OLIVOS|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
69|SERVICIOS WEB|PROPIETARIO|M|30|LOS OLIVOS|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
70|SERVICIOS WEB|PROPIETARIO|F|42|CALLAO|CALLAO|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
71|SERVICIOS WEB|PROPIETARIO|M|37|CHORRILLOS|LIMA|ITALIANA|2023|OCTUBRE|4|E|ITALIANA|2023-10-03
72|SERVICIOS WEB|PROPIETARIO|M|29|SURQUILLO|LIMA|VENEZOLANA|2023|OCTUBRE|1|E|VENEZOLANA|2023-10-03
73|SERVICIOS WEB|PROPIETARIO|M|34|LA BANDA DE SHILCAYO|SAN MARTIN|BELGA|2023|OCTUBRE|11|E|BELGA|2023-10-03
74|SERVICIOS WEB|PROPIETARIO|F|47|LURIN|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
75|SERVICIOS WEB|PROPIETARIO|M|49|JESUS MARIA|LIMA|INDIA|2023|OCTUBRE|0|E|INDIA|2023-10-03
76|SERVICIOS WEB|PROPIETARIO|M|72|SAN BORJA|LIMA|CHILENA|2023|OCTUBRE|77|E|CHILENA|2023-10-03
77|SERVICIOS WEB|PROPIETARIO|M|40|SAN BORJA|LIMA|CHINA|2023|OCTUBRE|0|E|CHINA|2023-10-03
78|SERVICIOS WEB|PROPIETARIO|F|44|ATE|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
79|SERVICIOS WEB|PROPIETARIO|M|76|SANTIAGO DE SURCO|LIMA|BRASILERA|2023|OCTUBRE|17|E|BRASILERA|2023-10-03
80|SERVICIOS WEB|PROPIETARIO|F|26|SURQUILLO|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-03
81|SERVICIOS WEB|PROPIETARIO|M|34|CALCA|CUSCO|BRITANICA|2023|OCTUBRE|4|E|BRITANICA|2023-10-03
82|PUCALLPA|PROPIETARIO|M|33|CALLERIA|UCAYALI|CHILENA|2023|OCTUBRE|107|E|CHILENA|2023-10-03
83|SERVICIOS WEB|PROPIETARIO|M|39|MIRAFLORES|LIMA|BRASILERA|2023|OCTUBRE|0|E|BRASILERA|2023-10-03
84|SERVICIOS WEB|PROPIETARIO|M|39|MIRAFLORES|LIMA|BRASILERA|2023|OCTUBRE|0|E|BRASILERA|2023-10-03
85|SERVICIOS WEB|PROPIETARIO|M|48|SAN RAMON|JUNIN|BRASILERA|2023|OCTUBRE|0|E|BRASILERA|2023-10-03
86|SERVICIOS WEB|PROPIETARIO|F|43|MIRAFLORES|LIMA|BRASILERA|2023|OCTUBRE|1|E|BRASILERA|2023-10-03
87|SERVICIOS WEB|PROPIETARIO|M|38|BARRANCO|LIMA|BRASILERA|2023|OCTUBRE|0|E|BRASILERA|2023-10-03
88|SERVICIOS WEB|PROPIETARIO|F|38|TACNA|TACNA|VENEZOLANA|2023|OCTUBRE|6|E|VENEZOLANA|2023-10-03
89|SERVICIOS WEB|PROPIETARIO|M|32|LIMA|LIMA|PERUANA|2023|OCTUBRE|19|E|PERUANA|2023-10-03
90|SERVICIOS WEB|PROPIETARIO|F|30|BREÑA|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-04
91|SERVICIOS WEB|PROPIETARIO|M|48|LOS OLIVOS|LIMA|FILIPINA|2023|OCTUBRE|11|E|FILIPINA|2023-10-04
92|SERVICIOS WEB|PROPIETARIO|F|29|EL AGUSTINO|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-04
